Tranche,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,LU-plunger,LU-non plunger
1,0,0,0,0.00E+00,0,0,0,0,0,0,0.0057699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
2,0.00086023,0,0,0,0,0,0,0,0,0,0.0057699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
3,0,0,0,0.00053315,0,0,0,0,0,0,0.0096451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0,0,0,0,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
4,0,0,0,0,0.00053315,0.00025132,0,0,0,0,0.0096451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0,0,0,0,0.00E+00,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
5,0.0010291,0,0,0,0,0,0,0,0,0,0.0096451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0,0,0,0,0.00E+00,0,0,0,0,0,0.00078343,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.48E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0,0,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
6,0.0016814,0,0,0,0,0,0,0,0,0,0.0096451,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0.00E+00,0,0,0,0,0,0,0,0,0,0.0007846,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.49E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0,0.00E+00,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
7,0.00084786,0,0,0.0017064,0,0,0,0,0,0,0.0096451,0,0,0,0.000020946,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0.00E+00,0,0,0,4.2947E-06,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.49E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0.00E+00,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
8,0.0010165,0,0,0.0012624,0.0007092,0,0,0,0,0,0.0096451,0,0,0,0.000057793,0,0,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,4.29E-06,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,3.4946E-09,0,0,0,0,8.49E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
9,0,0,0,0.0017695,0,0,0,0,0,0,0.011552,0,0,0,0,0,0.000072345,0,0,0,0,0,0,0,0.0019678,0,0.0018863,0.0017852,0.00E+00,0,0,0,4.2947E-06,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0,0.00E+00,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.50E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
10,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0.000079483,0,0,0,0,0,0.0019719,0,0.0020416,0.0017852,4.2947E-06,0,0,0,0,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,0,0,0,0,0,0,8.50E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0.00E+00,0.00E+00,0,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
11,0,0,0,0,0,0,0,0,0,0,0.014989,0,0,0,0,0,0,0,0.00014773,0,0,0,0,0,0.0019719,0,0.0020416,0.0017852,0,0,0,0,4.2947E-06,0,0,0,0,0,0.00078291,0,0.00074944,0.00070923,0,0,0,0.00E+00,0,0,0,0,0,0,0.00038798,0,0.00037148,0.00035085,0,0,0,0,0,0,0,0,0,0,0.000171,0,0.0001636,0.00015461,0,0,0,0,0,0,0,0,0,0,8.31E-05,0,7.95E-05,7.51E-05,0,0,0,0,0,0,0,0,0,0,2.58E-05,0,2.47E-05,2.33E-05,0,0,0,0,7.2581E-09,0,0,0,0,0,8.49E-06,0,8.13E-06,7.68E-06,0,0,0,0,0,0,0,0,0,0,2.30E-06,0,2.20E-06,2.08E-06,0.00E+00,0,0,0,0,0.00E+00,0,0,0,0,2.95E-07,0,3.12E-07,3.00E-07
