Names,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor,Well,Header,Heater,Separator,Meter,Tanks - Leaks,Tank thief hatch / PRV,Recip Compressor,Dehydrator,Chemical Injection Pump,Pneumatic Controller,Flash factor
1,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,1.89E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
2,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,1.17E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,6.52E-01,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.74E-01,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.03E-01
3,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,1.17E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,4.94E-01,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.32E-01
4,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,1.29E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,3.50E-02,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
5,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,1.90E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,2.40E-01,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
6,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,1.29E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.07E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,4.85E-01
7,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,6.57E-01,0,0,0,0,0,0,0,0,0,0,6.17E-06,4.26E-01,0,0,0,0,0,0,0,0,0,0,1.92E-06,1.42E-02,0,0,0,0,0,0,0,0,0,0,2.77E-07,3.30E-02
8,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
9,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,0.00E+00
10,0,0,0,0,0,0,0,0,0,0,0.0059159,0,0.00E+00,0,0,0,0,0,0,0,0,0,0.001431,0,0,0,0,0,0,0,0,0,0,0,0.00058907,0,0,0,0,0,0,0,0,0,0,0,0.00029491,0,0,0,0,0,0,0,0,0,0,0,0.00013287,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.96E-05,1.40E+00,0,0,0,0,0,0,0,0,0,0,6.17E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,1.92E-06,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.77E-07,1.38E-01
